post_id,user_id,text,label,post_length,avg_sentiment,num_likes,num_shares,num_reports,user_posts,user_friends,response_time,toxicity_score
p0274,u374,Why are you always so dumb?,bullying,6,-0.85,7,2,4,171,766,3.26,0.98
p0275,u375,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.54,0,2,0,146,615,2.73,0.15
p0276,u376,"You’re such a loser, nobody likes you.",bullying,7,-0.72,3,2,2,409,458,3.12,0.86
p0277,u377,"That was an amazing performance, bravo!",non-bullying,6,0.34,52,9,0,166,484,1.79,0.2
p0278,u378,"Nobody respects you, just stop.",bullying,5,-0.71,5,2,3,459,233,3.08,0.95
p0279,u379,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.88,89,5,0,436,74,3.35,0.19
p0280,u380,Why are you always so dumb?,bullying,6,-0.71,9,1,1,232,241,0.3,0.8
p0281,u381,"Nice work team, proud of you!",non-bullying,6,0.71,51,2,0,487,555,1.3,0.11
p0282,u382,Why are you always so dumb?,bullying,6,-0.55,3,0,2,486,50,0.21,0.74
p0283,u383,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.4,45,6,0,222,999,2.44,0.15
p0284,u384,You're ugly and worthless.,bullying,4,-0.77,9,2,4,454,131,3.78,0.95
p0285,u385,Wishing you all the best in your exams.,non-bullying,8,0.46,46,5,0,269,725,2.41,0.1
p0286,u386,You're ugly and worthless.,bullying,4,-0.95,1,0,2,58,1000,2.63,0.99
p0287,u387,"Keep going, you’re doing amazing!",non-bullying,5,0.51,64,5,0,103,499,2.17,0.23
p0288,u388,You're nothing but a failure.,bullying,5,-0.57,5,1,2,59,706,0.39,0.98
p0289,u389,"Great job on your project, well done!",non-bullying,7,0.33,51,15,0,189,631,3.65,0.26
p0290,u390,"Just disappear, nobody will miss you.",bullying,6,-0.8,0,0,4,297,224,1.1,0.82
p0291,u391,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.32,66,16,0,233,440,0.29,0.27
p0292,u392,"You’re a joke, nobody cares about you.",bullying,7,-0.86,6,0,2,350,392,2.99,0.8
p0293,u393,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.56,65,0,0,80,692,4.81,0.26
p0294,u394,"Nobody respects you, just stop.",bullying,5,-0.62,9,2,5,121,987,2.84,0.97
p0295,u395,Wishing you all the best in your exams.,non-bullying,8,0.46,70,1,0,283,745,0.41,0.13
p0296,u396,Why are you always so dumb?,bullying,6,-0.72,9,0,3,437,958,3.79,0.86
p0297,u397,"That was an amazing performance, bravo!",non-bullying,6,0.99,29,6,0,104,251,1.66,0.07
p0298,u398,Nobody wants to be around you.,bullying,6,-0.7,5,2,5,440,518,3.92,0.94
p0299,u399,You are really talented and hardworking.,non-bullying,6,0.69,69,17,0,348,495,3.1,0.25
p0300,u400,"Just disappear, nobody will miss you.",bullying,6,-0.73,10,1,3,233,577,3.2,0.94
p0301,u401,"Nice work team, proud of you!",non-bullying,6,0.98,23,14,0,396,953,1.14,0.14
p0302,u402,"Nobody respects you, just stop.",bullying,5,-0.66,7,2,3,50,778,3.38,0.78
p0303,u403,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.89,85,16,0,112,188,4.36,0.2
p0304,u404,"You’re such a loser, nobody likes you.",bullying,7,-0.76,6,2,3,413,110,4.64,0.82
p0305,u405,You are really talented and hardworking.,non-bullying,6,0.88,41,18,0,423,575,3.42,0.2
p0306,u406,Nobody wants to be around you.,bullying,6,-0.7,8,2,4,301,475,2.88,0.75
p0307,u407,Congrats on your success! Keep shining.,non-bullying,6,0.92,45,15,0,88,451,4.36,0.12
p0308,u408,You're ugly and worthless.,bullying,4,-0.53,4,1,5,338,120,1.23,0.75
p0309,u409,Thanks for helping me yesterday!,non-bullying,5,0.68,8,13,0,211,636,3.72,0.07
p0310,u410,"Nobody respects you, just stop.",bullying,5,-0.96,3,2,4,242,421,2.87,0.85
p0311,u411,Thanks for helping me yesterday!,non-bullying,5,0.92,60,8,0,498,113,3.11,0.23
p0312,u412,You're ugly and worthless.,bullying,4,-0.52,6,1,3,310,927,0.25,0.71
p0313,u413,"That was an amazing performance, bravo!",non-bullying,6,0.62,61,3,0,461,105,3.47,0.14
p0314,u414,You're nothing but a failure.,bullying,5,-0.78,0,1,3,134,326,0.72,0.86
p0315,u415,"That was an amazing performance, bravo!",non-bullying,6,0.42,49,15,0,291,737,2.85,0.13
p0316,u416,You're ugly and worthless.,bullying,4,-0.95,5,2,3,256,189,4.98,0.77
p0317,u417,Congrats on your success! Keep shining.,non-bullying,6,0.81,99,1,0,87,46,2.82,0.24
p0318,u418,Why are you always so dumb?,bullying,6,-0.82,2,0,3,102,288,3.69,0.71
p0319,u419,You are really talented and hardworking.,non-bullying,6,0.43,44,12,0,150,578,2.58,0.1
p0320,u420,Nobody wants to be around you.,bullying,6,-0.82,4,0,1,340,588,0.61,0.98
p0321,u421,"Keep going, you’re doing amazing!",non-bullying,5,0.83,49,4,0,260,628,4.93,0.14
p0322,u422,"You're annoying, everyone hates you.",bullying,5,-0.74,2,0,2,230,70,3.82,0.88
p0323,u423,"Great job on your project, well done!",non-bullying,7,0.46,1,9,0,62,201,1.41,0.28
p0324,u424,"Pathetic, you should just quit.",bullying,5,-0.76,0,1,1,323,944,3.39,0.9
p0325,u425,Your positivity inspires everyone around you.,non-bullying,6,0.88,29,10,0,434,933,1.95,0.16
p0326,u426,"Nobody respects you, just stop.",bullying,5,-0.68,7,0,1,298,617,3.13,0.78
p0327,u427,"Great job on your project, well done!",non-bullying,7,0.7,78,14,0,136,433,4.46,0.14
p0328,u428,Why are you always so dumb?,bullying,6,-0.66,10,1,5,325,395,0.45,0.77
p0329,u429,"That was an amazing performance, bravo!",non-bullying,6,0.96,56,2,0,309,185,2.36,0.06
p0330,u430,Why are you always so dumb?,bullying,6,-0.5,6,1,3,328,305,3.84,0.9
p0331,u431,Thanks for helping me yesterday!,non-bullying,5,0.41,7,8,0,355,850,0.91,0.3
p0332,u432,"You’re such a loser, nobody likes you.",bullying,7,-0.83,1,2,2,80,279,4.63,0.74
p0333,u433,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.42,4,5,0,468,672,2.84,0.03
p0334,u434,"Just disappear, nobody will miss you.",bullying,6,-0.71,6,2,2,428,750,1.9,0.9
p0335,u435,Wishing you all the best in your exams.,non-bullying,8,0.7,52,17,0,306,792,0.79,0.08
p0336,u436,Why are you always so dumb?,bullying,6,-0.56,6,2,3,488,411,4.62,0.73
p0337,u437,"Nice work team, proud of you!",non-bullying,6,0.43,89,16,0,454,270,3.34,0.2
p0338,u438,"You’re such a loser, nobody likes you.",bullying,7,-0.89,10,1,5,429,403,3.53,0.98
p0339,u439,"Keep going, you’re doing amazing!",non-bullying,5,0.94,40,18,0,402,795,4.91,0.0
p0340,u440,You're ugly and worthless.,bullying,4,-0.61,0,0,5,125,344,2.88,0.79
p0341,u441,"Keep going, you’re doing amazing!",non-bullying,5,0.57,46,18,0,53,236,3.29,0.29
p0342,u442,Nobody wants to be around you.,bullying,6,-0.61,8,1,3,374,27,3.76,0.85
p0343,u443,Congrats on your success! Keep shining.,non-bullying,6,0.52,3,20,0,263,627,0.53,0.25
p0344,u444,"Nobody respects you, just stop.",bullying,5,-0.92,6,0,4,323,750,2.66,0.93
p0345,u445,"That was an amazing performance, bravo!",non-bullying,6,0.66,57,2,0,470,686,1.87,0.04
p0346,u446,You're nothing but a failure.,bullying,5,-0.79,7,1,5,158,577,3.92,0.94
p0347,u447,"Keep going, you’re doing amazing!",non-bullying,5,0.5,90,20,0,101,822,1.29,0.14
p0348,u448,"You’re a joke, nobody cares about you.",bullying,7,-0.96,5,0,3,88,721,4.38,0.95
p0349,u449,Thanks for helping me yesterday!,non-bullying,5,0.52,71,10,0,164,535,0.36,0.07
p0350,u450,"Pathetic, you should just quit.",bullying,5,-0.76,10,2,4,211,876,3.63,0.81
p0351,u451,"Great job on your project, well done!",non-bullying,7,0.71,9,18,0,392,183,3.35,0.25
p0352,u452,"Nobody respects you, just stop.",bullying,5,-0.82,10,0,1,209,246,2.26,0.91
p0353,u453,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.83,6,10,0,407,549,1.46,0.09
p0354,u454,"You’re a joke, nobody cares about you.",bullying,7,-0.57,4,0,3,355,887,0.65,0.79
p0355,u455,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.6,63,0,0,189,639,0.92,0.08
p0356,u456,"Just disappear, nobody will miss you.",bullying,6,-0.98,9,2,5,484,806,0.78,0.96
p0357,u457,Congrats on your success! Keep shining.,non-bullying,6,0.94,82,2,0,299,980,4.33,0.08
p0358,u458,"You're annoying, everyone hates you.",bullying,5,-0.53,5,0,2,97,955,2.28,0.82
p0359,u459,"Great job on your project, well done!",non-bullying,7,0.92,40,19,0,226,542,2.52,0.22
p0360,u460,"Just disappear, nobody will miss you.",bullying,6,-0.54,5,2,5,69,287,0.87,0.97
p0361,u461,"Nice work team, proud of you!",non-bullying,6,0.91,49,19,0,183,976,4.29,0.29
p0362,u462,Nobody wants to be around you.,bullying,6,-0.73,2,2,3,414,141,4.2,0.79
p0363,u463,"That was an amazing performance, bravo!",non-bullying,6,0.99,47,15,0,286,35,2.02,0.1
p0364,u464,"Pathetic, you should just quit.",bullying,5,-0.56,5,1,5,358,110,0.89,0.81
p0365,u465,"Keep going, you’re doing amazing!",non-bullying,5,0.69,54,16,0,190,529,0.24,0.26
p0366,u466,"Nobody respects you, just stop.",bullying,5,-0.72,10,1,1,81,242,0.96,0.91
p0367,u467,Your positivity inspires everyone around you.,non-bullying,6,0.8,70,17,0,467,497,3.25,0.19
p0368,u468,You're ugly and worthless.,bullying,4,-0.86,10,2,4,68,390,4.82,0.95
p0369,u469,Congrats on your success! Keep shining.,non-bullying,6,0.31,32,3,0,204,126,2.89,0.28
p0370,u470,"Nobody respects you, just stop.",bullying,5,-0.76,6,2,2,87,10,2.91,0.88
p0371,u471,Your positivity inspires everyone around you.,non-bullying,6,0.95,81,7,0,241,61,3.34,0.15
p0372,u472,"You’re such a loser, nobody likes you.",bullying,7,-0.77,7,2,5,256,711,1.51,0.98
p0373,u473,"Nice work team, proud of you!",non-bullying,6,0.43,16,11,0,197,683,4.61,0.21
p0374,u474,You're nothing but a failure.,bullying,5,-0.98,10,0,1,98,213,0.19,0.86
p0375,u475,You are really talented and hardworking.,non-bullying,6,0.65,36,11,0,279,489,1.52,0.15
p0376,u476,"Nobody respects you, just stop.",bullying,5,-0.59,4,1,4,197,675,1.35,0.79
p0377,u477,Thanks for helping me yesterday!,non-bullying,5,0.76,46,17,0,257,565,4.96,0.02
p0378,u478,You're ugly and worthless.,bullying,4,-0.77,10,0,4,477,553,0.62,0.85
p0379,u479,"That was an amazing performance, bravo!",non-bullying,6,0.4,79,0,0,121,253,4.15,0.17
p0380,u480,"You’re such a loser, nobody likes you.",bullying,7,-0.93,8,1,5,491,492,1.95,0.79
p0381,u481,Your positivity inspires everyone around you.,non-bullying,6,0.57,39,8,0,492,183,0.48,0.21
p0382,u482,"You're annoying, everyone hates you.",bullying,5,-0.53,4,0,5,379,603,3.78,0.77
p0383,u483,Congrats on your success! Keep shining.,non-bullying,6,0.99,9,7,0,367,251,4.79,0.15
p0384,u484,"Just disappear, nobody will miss you.",bullying,6,-0.56,4,2,2,414,884,0.73,0.98
p0385,u485,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.89,96,8,0,299,611,2.7,0.07
p0386,u486,You're nothing but a failure.,bullying,5,-0.7,4,1,2,332,702,4.59,0.95
p0387,u487,"Nice work team, proud of you!",non-bullying,6,0.66,39,3,0,92,175,4.84,0.23
p0388,u488,Nobody wants to be around you.,bullying,6,-0.98,0,1,3,266,949,3.55,0.97
p0389,u489,Congrats on your success! Keep shining.,non-bullying,6,0.31,63,7,0,69,165,3.75,0.14
p0390,u490,"You're annoying, everyone hates you.",bullying,5,-0.6,3,1,2,63,651,3.59,0.96
p0391,u491,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.83,57,15,0,80,828,4.86,0.08
p0392,u492,"Nobody respects you, just stop.",bullying,5,-0.85,7,1,4,119,470,4.42,0.88
p0393,u493,Congrats on your success! Keep shining.,non-bullying,6,0.77,17,18,0,276,200,1.21,0.21
p0394,u494,You're ugly and worthless.,bullying,4,-0.99,7,1,1,440,41,0.6,0.94
p0395,u495,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.7,23,18,0,446,108,3.92,0.16
p0396,u496,Why are you always so dumb?,bullying,6,-0.78,8,0,2,366,912,3.89,0.71
p0397,u497,"That was an amazing performance, bravo!",non-bullying,6,0.72,40,13,0,345,64,1.71,0.02
p0398,u498,"You’re such a loser, nobody likes you.",bullying,7,-0.85,2,0,2,380,909,1.84,0.7
p0399,u499,"Nice work team, proud of you!",non-bullying,6,0.36,66,2,0,199,365,3.92,0.25
p0400,u500,"You’re a joke, nobody cares about you.",bullying,7,-0.83,7,2,3,102,182,0.19,0.72
p0401,u501,"Great job on your project, well done!",non-bullying,7,0.38,27,9,0,228,491,4.79,0.26
p0402,u502,Nobody wants to be around you.,bullying,6,-0.81,2,1,1,75,60,3.19,0.94
p0403,u503,"That was an amazing performance, bravo!",non-bullying,6,0.76,24,8,0,59,583,2.08,0.02
p0404,u504,"Just disappear, nobody will miss you.",bullying,6,-0.8,3,1,1,208,341,4.93,0.71
p0405,u505,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.35,12,16,0,326,838,3.2,0.25
p0406,u506,"You’re a joke, nobody cares about you.",bullying,7,-0.96,0,2,4,109,194,2.56,0.72
p0407,u507,"That was an amazing performance, bravo!",non-bullying,6,0.31,62,16,0,108,869,1.97,0.02
p0408,u508,Why are you always so dumb?,bullying,6,-0.69,7,1,4,101,911,4.88,0.84
p0409,u509,Wishing you all the best in your exams.,non-bullying,8,0.96,98,2,0,343,830,1.71,0.12
p0410,u510,Why are you always so dumb?,bullying,6,-0.65,2,0,3,391,441,1.02,0.73
p0411,u511,"Keep going, you’re doing amazing!",non-bullying,5,0.9,22,0,0,367,749,3.28,0.01
p0412,u512,"Pathetic, you should just quit.",bullying,5,-0.57,5,0,2,133,377,4.5,0.91
p0413,u513,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.95,45,3,0,231,738,4.95,0.18
p0414,u514,"Just disappear, nobody will miss you.",bullying,6,-0.88,10,1,2,255,866,4.9,0.77
p0415,u515,"Keep going, you’re doing amazing!",non-bullying,5,0.94,17,17,0,125,998,3.02,0.26
p0416,u516,"You’re a joke, nobody cares about you.",bullying,7,-0.82,5,0,3,305,410,3.15,0.88
p0417,u517,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.69,98,20,0,292,242,0.35,0.23
p0418,u518,"Nobody respects you, just stop.",bullying,5,-0.78,8,2,1,491,36,3.18,0.78
p0419,u519,"Great job on your project, well done!",non-bullying,7,0.75,34,8,0,82,148,2.16,0.09
p0420,u520,"You’re such a loser, nobody likes you.",bullying,7,-0.61,5,2,3,258,656,1.35,0.98
p0421,u521,Congrats on your success! Keep shining.,non-bullying,6,0.74,8,4,0,425,496,2.15,0.2
p0422,u522,You're nothing but a failure.,bullying,5,-0.69,6,2,2,424,115,0.65,0.77
p0423,u523,"Keep going, you’re doing amazing!",non-bullying,5,0.61,82,20,0,60,976,2.32,0.28
p0424,u524,"Just disappear, nobody will miss you.",bullying,6,-0.95,0,2,1,409,637,3.2,0.96
p0425,u525,"Nice work team, proud of you!",non-bullying,6,0.85,20,1,0,342,215,3.79,0.21
p0426,u526,"Pathetic, you should just quit.",bullying,5,-0.64,7,0,2,441,529,1.7,0.93
p0427,u527,Thanks for helping me yesterday!,non-bullying,5,0.98,97,20,0,467,187,1.07,0.12
p0428,u528,"Pathetic, you should just quit.",bullying,5,-0.92,10,1,1,446,305,2.9,0.99
p0429,u529,"Nice work team, proud of you!",non-bullying,6,0.68,90,16,0,477,855,1.2,0.19
p0430,u530,Why are you always so dumb?,bullying,6,-0.68,1,2,4,188,642,2.32,0.87
p0431,u531,Congrats on your success! Keep shining.,non-bullying,6,0.32,5,5,0,216,58,2.95,0.24
p0432,u532,"You're annoying, everyone hates you.",bullying,5,-0.94,2,1,4,73,666,0.1,0.72
p0433,u533,Thanks for helping me yesterday!,non-bullying,5,0.46,50,17,0,482,44,3.32,0.25
p0434,u534,"Pathetic, you should just quit.",bullying,5,-0.57,0,1,1,126,263,2.81,0.76
p0435,u535,"Great job on your project, well done!",non-bullying,7,0.94,23,4,0,219,950,1.54,0.1
p0436,u536,"Nobody respects you, just stop.",bullying,5,-0.72,0,1,3,252,57,2.78,0.94
p0437,u537,Your positivity inspires everyone around you.,non-bullying,6,0.69,89,9,0,55,887,0.27,0.17
p0438,u538,"Pathetic, you should just quit.",bullying,5,-0.63,7,0,5,158,592,0.95,0.97
p0439,u539,Thanks for helping me yesterday!,non-bullying,5,0.71,30,11,0,190,641,4.73,0.17
p0440,u540,"Pathetic, you should just quit.",bullying,5,-0.56,5,2,1,147,974,2.5,0.88
p0441,u541,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.92,40,18,0,351,38,2.67,0.2
p0442,u542,Why are you always so dumb?,bullying,6,-0.6,10,2,3,312,436,4.5,0.95
p0443,u543,"Nice work team, proud of you!",non-bullying,6,0.86,81,20,0,187,443,1.65,0.24
p0444,u544,"Nobody respects you, just stop.",bullying,5,-0.82,6,0,1,348,907,0.32,0.83
p0445,u545,Congrats on your success! Keep shining.,non-bullying,6,0.54,30,15,0,162,558,4.58,0.05
p0446,u546,"Just disappear, nobody will miss you.",bullying,6,-0.54,3,0,1,424,643,0.89,0.87
p0447,u547,"Nice work team, proud of you!",non-bullying,6,0.34,18,3,0,227,899,0.39,0.16
p0448,u548,"Pathetic, you should just quit.",bullying,5,-0.82,8,1,2,335,731,4.91,0.94
p0449,u549,"Great job on your project, well done!",non-bullying,7,0.49,12,12,0,450,93,3.56,0.21
p0450,u550,You're nothing but a failure.,bullying,5,-0.52,5,1,2,291,412,3.52,0.94
p0451,u551,"That was an amazing performance, bravo!",non-bullying,6,0.83,9,17,0,292,37,4.91,0.3
p0452,u552,"You’re a joke, nobody cares about you.",bullying,7,-0.65,2,2,4,69,91,2.48,0.93
p0453,u553,"Keep going, you’re doing amazing!",non-bullying,5,0.45,35,19,0,495,780,0.51,0.23
p0454,u554,"Pathetic, you should just quit.",bullying,5,-0.68,4,2,3,346,173,0.21,0.97
p0455,u555,Congrats on your success! Keep shining.,non-bullying,6,0.85,37,19,0,375,247,2.06,0.29
p0456,u556,"Just disappear, nobody will miss you.",bullying,6,-0.64,4,2,5,232,255,0.15,0.79
p0457,u557,You are really talented and hardworking.,non-bullying,6,0.58,47,2,0,137,597,3.12,0.29
p0458,u558,"Nobody respects you, just stop.",bullying,5,-0.77,7,2,1,115,585,3.5,0.89
p0459,u559,Wishing you all the best in your exams.,non-bullying,8,0.97,81,19,0,412,684,0.58,0.23
p0460,u560,Why are you always so dumb?,bullying,6,-0.6,8,1,2,62,111,0.43,0.97
p0461,u561,"That was an amazing performance, bravo!",non-bullying,6,0.93,67,3,0,500,877,3.1,0.02
p0462,u562,Why are you always so dumb?,bullying,6,-0.67,8,1,2,476,494,1.1,0.92
p0463,u563,"Keep going, you’re doing amazing!",non-bullying,5,0.38,52,4,0,161,520,1.99,0.27
p0464,u564,"You’re such a loser, nobody likes you.",bullying,7,-0.66,6,2,2,139,678,0.57,0.96
p0465,u565,Thanks for helping me yesterday!,non-bullying,5,0.48,9,6,0,373,632,3.01,0.22
p0466,u566,"You’re such a loser, nobody likes you.",bullying,7,-0.61,7,0,1,82,827,1.31,0.88
p0467,u567,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.74,97,12,0,437,512,1.25,0.21
p0468,u568,"Nobody respects you, just stop.",bullying,5,-0.94,2,0,5,151,345,2.42,0.78
p0469,u569,"That was an amazing performance, bravo!",non-bullying,6,0.91,72,7,0,420,637,3.55,0.0
p0470,u570,"Pathetic, you should just quit.",bullying,5,-0.81,3,2,2,361,127,2.53,0.88
p0471,u571,"That was an amazing performance, bravo!",non-bullying,6,0.51,47,5,0,343,399,4.41,0.06
p0472,u572,You're nothing but a failure.,bullying,5,-0.72,7,0,5,167,394,0.68,0.81
p0473,u573,"That was an amazing performance, bravo!",non-bullying,6,0.74,93,9,0,323,258,4.09,0.22
p0474,u574,You're nothing but a failure.,bullying,5,-0.94,0,1,5,249,336,3.63,0.88
p0475,u575,"Nice work team, proud of you!",non-bullying,6,0.66,95,1,0,336,308,3.02,0.23
p0476,u576,"You're annoying, everyone hates you.",bullying,5,-0.64,5,1,4,301,899,1.26,0.72
p0477,u577,Wishing you all the best in your exams.,non-bullying,8,0.67,39,7,0,290,420,4.63,0.2
p0478,u578,Nobody wants to be around you.,bullying,6,-0.7,9,2,4,314,760,4.03,0.73
p0479,u579,"Great job on your project, well done!",non-bullying,7,0.96,62,2,0,52,608,2.35,0.02
p0480,u580,You're nothing but a failure.,bullying,5,-0.63,5,0,3,423,967,2.04,0.92
p0481,u581,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.57,91,20,0,195,312,0.99,0.04
p0482,u582,"Just disappear, nobody will miss you.",bullying,6,-0.69,1,2,2,156,741,2.43,0.86
p0483,u583,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.78,15,8,0,377,358,1.32,0.07
p0484,u584,"Nobody respects you, just stop.",bullying,5,-0.61,1,0,5,426,711,2.15,0.82
p0485,u585,Wishing you all the best in your exams.,non-bullying,8,0.93,70,14,0,323,895,4.56,0.06
p0486,u586,"You’re a joke, nobody cares about you.",bullying,7,-0.9,2,1,1,500,314,0.34,0.83
p0487,u587,Wishing you all the best in your exams.,non-bullying,8,0.87,21,2,0,109,231,0.74,0.11
p0488,u588,"Pathetic, you should just quit.",bullying,5,-0.67,8,1,4,316,947,4.36,0.74
p0489,u589,Thanks for helping me yesterday!,non-bullying,5,0.77,61,14,0,282,384,2.42,0.07
p0490,u590,You're ugly and worthless.,bullying,4,-0.86,6,2,3,430,900,3.82,0.81
p0491,u591,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.87,50,7,0,161,212,2.36,0.04
p0492,u592,You're nothing but a failure.,bullying,5,-0.52,8,0,4,491,701,4.08,0.75
p0493,u593,You are really talented and hardworking.,non-bullying,6,0.52,74,17,0,146,944,2.36,0.28
p0494,u594,"Nobody respects you, just stop.",bullying,5,-0.52,8,2,2,64,592,4.85,0.98
p0495,u595,Congrats on your success! Keep shining.,non-bullying,6,0.81,63,16,0,400,709,3.32,0.21
p0496,u596,"Just disappear, nobody will miss you.",bullying,6,-0.94,2,0,3,313,241,3.17,0.98
p0497,u597,Thanks for helping me yesterday!,non-bullying,5,0.42,33,1,0,54,568,2.16,0.16
p0498,u598,Why are you always so dumb?,bullying,6,-0.6,0,2,5,181,354,0.61,0.81
p0499,u599,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.63,14,2,0,341,141,3.47,0.18
p0500,u600,"You're annoying, everyone hates you.",bullying,5,-0.61,4,1,2,383,601,2.7,0.76
p0501,u601,Congrats on your success! Keep shining.,non-bullying,6,0.66,65,2,0,185,18,3.26,0.17
p0502,u602,"Just disappear, nobody will miss you.",bullying,6,-0.74,3,2,5,121,633,4.54,0.81
p0503,u603,You are really talented and hardworking.,non-bullying,6,0.81,70,17,0,380,263,2.29,0.17
p0504,u604,"You’re a joke, nobody cares about you.",bullying,7,-0.98,10,2,2,364,86,0.37,0.9
p0505,u605,"Great job on your project, well done!",non-bullying,7,0.97,58,17,0,186,420,2.76,0.16
p0506,u606,"You’re such a loser, nobody likes you.",bullying,7,-0.85,5,2,3,106,563,2.3,0.83
p0507,u607,Your positivity inspires everyone around you.,non-bullying,6,0.32,10,13,0,452,629,4.21,0.24
p0508,u608,Why are you always so dumb?,bullying,6,-0.58,10,1,3,402,817,2.75,0.77
p0509,u609,"Nice work team, proud of you!",non-bullying,6,0.42,62,8,0,301,511,1.04,0.27
p0510,u610,You're nothing but a failure.,bullying,5,-0.58,0,0,3,191,709,1.59,0.82
p0511,u611,"That was an amazing performance, bravo!",non-bullying,6,0.83,12,1,0,301,658,2.11,0.08
p0512,u612,"Pathetic, you should just quit.",bullying,5,-0.77,6,1,5,483,550,4.33,0.73
p0513,u613,"Nice work team, proud of you!",non-bullying,6,0.43,79,6,0,489,702,2.15,0.15
p0514,u614,"You’re such a loser, nobody likes you.",bullying,7,-0.98,8,0,3,92,707,2.79,0.7
p0515,u615,"That was an amazing performance, bravo!",non-bullying,6,0.33,87,15,0,96,225,0.58,0.29
p0516,u616,"Pathetic, you should just quit.",bullying,5,-0.87,5,2,3,185,532,2.65,0.84
p0517,u617,Congrats on your success! Keep shining.,non-bullying,6,0.86,52,14,0,189,857,1.75,0.09
p0518,u618,"You’re such a loser, nobody likes you.",bullying,7,-0.87,2,2,2,313,945,4.36,0.96
p0519,u619,"Keep going, you’re doing amazing!",non-bullying,5,0.75,61,9,0,232,577,2.0,0.2
p0520,u620,You're nothing but a failure.,bullying,5,-0.61,9,1,5,243,319,4.37,0.76
p0521,u621,"Great job on your project, well done!",non-bullying,7,0.66,97,18,0,79,161,1.18,0.24
p0522,u622,"Nobody respects you, just stop.",bullying,5,-0.93,9,2,3,183,408,2.07,0.9
p0523,u623,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.77,80,11,0,400,297,1.85,0.12
p0524,u624,You're ugly and worthless.,bullying,4,-0.79,1,0,5,474,461,0.32,0.85
p0525,u625,"Great job on your project, well done!",non-bullying,7,0.54,67,9,0,210,125,0.8,0.12
p0526,u626,"You’re such a loser, nobody likes you.",bullying,7,-0.97,6,2,5,253,346,3.17,0.96
p0527,u627,Congrats on your success! Keep shining.,non-bullying,6,0.93,52,1,0,252,60,0.83,0.23
p0528,u628,Nobody wants to be around you.,bullying,6,-0.87,4,0,2,86,73,3.77,0.74
p0529,u629,"Nice work team, proud of you!",non-bullying,6,0.63,21,18,0,486,621,2.81,0.25
p0530,u630,"Nobody respects you, just stop.",bullying,5,-0.83,10,0,4,266,38,3.98,0.76
p0531,u631,Thanks for helping me yesterday!,non-bullying,5,0.73,0,5,0,53,618,2.84,0.26
p0532,u632,"You’re a joke, nobody cares about you.",bullying,7,-0.59,10,2,4,254,955,4.18,0.81
p0533,u633,"Great job on your project, well done!",non-bullying,7,0.72,87,10,0,270,146,1.38,0.06
p0534,u634,"Just disappear, nobody will miss you.",bullying,6,-0.9,8,1,3,212,323,4.15,0.79
p0535,u635,"That was an amazing performance, bravo!",non-bullying,6,0.51,68,15,0,327,248,4.67,0.23
p0536,u636,"Just disappear, nobody will miss you.",bullying,6,-0.94,10,2,3,252,538,4.34,0.92
p0537,u637,You are really talented and hardworking.,non-bullying,6,0.56,20,9,0,318,361,4.75,0.13
p0538,u638,"You’re such a loser, nobody likes you.",bullying,7,-0.91,6,1,2,248,354,0.96,0.74
p0539,u639,You are really talented and hardworking.,non-bullying,6,0.87,26,20,0,337,536,3.0,0.28
p0540,u640,You're nothing but a failure.,bullying,5,-0.95,0,1,5,97,659,1.91,0.94
p0541,u641,Wishing you all the best in your exams.,non-bullying,8,0.76,58,13,0,406,548,2.41,0.04
p0542,u642,Why are you always so dumb?,bullying,6,-0.6,7,0,4,85,103,4.81,0.73
p0543,u643,Your positivity inspires everyone around you.,non-bullying,6,1.0,55,3,0,198,821,4.08,0.27
p0544,u644,Why are you always so dumb?,bullying,6,-0.61,3,2,4,384,209,1.2,0.79
p0545,u645,Your positivity inspires everyone around you.,non-bullying,6,0.59,57,1,0,183,258,1.86,0.03
p0546,u646,"You're annoying, everyone hates you.",bullying,5,-0.56,7,1,4,211,965,4.18,0.91
